data_location,mean_data_value
-126.0,0.05842247467298916
-123.0,0.06404971618494937
-120.0,0.07122325348346562
-117.0,0.07950560755591159
-114.0,0.08984392732482797
-111.0,0.10196683665312402
-108.0,0.12179049449472339
-105.0,0.1604425811107221
-102.0,0.2807240543032316
-99.0,0.6901388671148901
-96.0,0.898474279762312
-93.0,0.9496100396334626
-90.0,0.9718061429430309
-87.0,0.9844421951461433
-84.0,0.9932435834751259
-81.0,0.9997787490439888
-78.0,1.0035863871400783
-75.0,1.0068903752125462
-72.0,1.009671124284478
-69.0,1.0111859919080715
-66.0,1.0131731677075344
-63.0,1.0149673814804119
-60.0,1.017158819167584
-57.0,1.0146075542721886
-54.0,1.0146103057003795
-51.0,1.0156684702607477
-48.0,1.014664792386512
-45.0,1.0134774182280766
-42.0,1.0117530180192644
-39.0,1.009613359440183
-36.0,1.0063331598920195
-33.0,1.0049072304981408
-30.0,1.007821794346249
-27.0,1.0068008437425997
-24.0,1.007004391660303
-21.0,1.005845971172268
-18.0,1.0055421200343981
-15.0,1.0041560720514582
-12.0,1.0024876953203476
-9.0,1.000731277423481
-6.0,0.9990050487813721
0.0,1.0
6.0,1.0000505438273188
9.0,1.001265076110952
12.0,1.0023170957063283
15.0,1.0034072641692127
18.0,1.0045905973557046
21.0,1.005161849692096
24.0,1.0051676772971578
27.0,1.005301029135721
30.0,1.0047520310714093
33.0,1.0066190845190215
36.0,1.0087642775379073
39.0,1.0097668749745052
42.0,1.0110778513210157
45.0,1.0132049367164533
48.0,1.013991925358733
51.0,1.0153116079471436
54.0,1.0147912432265591
57.0,1.014133680869946
60.0,1.0160647063649757
63.0,1.0132235093047035
66.0,1.0121289282356292
69.0,1.0108099621766207
72.0,1.0087681296851119
75.0,1.0080231555062886
78.0,1.0030155535658358
81.0,0.9988173143195371
84.0,0.9914024029526141
87.0,0.9829234024554737
90.0,0.9707812969474964
93.0,0.9492659442508193
96.0,0.9017516928910998
99.0,0.6979476095365333
102.0,0.2958893293331967
105.0,0.1630078579940212
108.0,0.12288287950865015
111.0,0.10281630911586451
114.0,0.09005738592685911
117.0,0.07999900845147231
120.0,0.07159770705367836
123.0,0.06415591973232967
126.0,0.05918344074619338
