data_location,mean_data_value
-126.0,0.06705209460048077
-123.0,0.07224795061435992
-120.0,0.07836743188488826
-117.0,0.0857422135153196
-114.0,0.09464935297157537
-111.0,0.10602776497402723
-108.0,0.12371011744997999
-105.0,0.1591034831678806
-102.0,0.2641622321597326
-99.0,0.5919273730274263
-96.0,0.8675049459447627
-93.0,0.939141571367112
-90.0,0.9652673156415962
-87.0,0.9790427883388801
-84.0,0.9881225671148423
-81.0,0.994520308979581
-78.0,0.9995637759868662
-75.0,1.00495328993433
-72.0,1.007366415049415
-69.0,1.0088391671491257
-66.0,1.0106777931746305
-63.0,1.0121711719836928
-60.0,1.012722490848467
-57.0,1.0131454569794067
-54.0,1.0128701037237502
-51.0,1.0138888369031893
-48.0,1.0130065083681108
-45.0,1.0119069054290823
-42.0,1.0098148417597348
-39.0,1.008291463447189
-36.0,1.0068754287138306
-33.0,1.0050155928044913
-30.0,1.004831777678946
-27.0,1.0057493033064835
-24.0,1.0055577212468167
-21.0,1.0040253782465167
-18.0,1.0039575283114062
-15.0,1.0038915910800061
-12.0,1.0020274255148274
-9.0,1.001291451055711
-6.0,1.0002345382194588
0.0,1.0
6.0,1.0012928600561197
9.0,1.0026230830230711
12.0,1.0035723781482058
15.0,1.0054646112908447
18.0,1.00693636050351
21.0,1.0083235707325235
24.0,1.0083267441239836
27.0,1.0080340610080432
30.0,1.0085863815728793
33.0,1.0101651010559494
36.0,1.0108055975586088
39.0,1.012721240919392
42.0,1.0144577545749216
45.0,1.0162028186111667
48.0,1.018345482538969
51.0,1.018111882488324
54.0,1.0188179673876998
57.0,1.0180155306559258
60.0,1.018153224913819
63.0,1.0167752015604807
66.0,1.0151038416045843
69.0,1.0133580643378668
72.0,1.0114281564328935
75.0,1.0083426554686066
78.0,1.0061982693918632
81.0,0.999637761345984
84.0,0.992437831771529
87.0,0.9838679953495911
90.0,0.970705708759102
93.0,0.9460893014643214
96.0,0.8842604263120206
99.0,0.6613339257681927
102.0,0.2935638167245654
105.0,0.16680205453318728
108.0,0.127250041565358
111.0,0.10826396078476165
114.0,0.09692584394607362
117.0,0.08751597520514696
120.0,0.08026859956627866
123.0,0.07441610446179515
126.0,0.06767627467413324
