data_location,mean_data_value
-126.0,0.025635573242709528
-123.0,0.02809503339694905
-120.0,0.031210030742210737
-117.0,0.03520820213142589
-114.0,0.04042652693040196
-111.0,0.04808702939844115
-108.0,0.06153348009382562
-105.0,0.0890952873784419
-102.0,0.16437955546423325
-99.0,0.37175443342762904
-96.0,0.5332689726501361
-93.0,0.587192597903118
-90.0,0.6154077083628063
-87.0,0.6350970944879047
-84.0,0.6515607116282582
-81.0,0.6660664304992806
-78.0,0.6803201741202688
-75.0,0.6955708324647314
-72.0,0.7085171672384205
-69.0,0.7214267972381047
-66.0,0.7350298974780789
-63.0,0.7487641196168666
-60.0,0.762374913976084
-57.0,0.7761673538376191
-54.0,0.7897276927494262
-51.0,0.804788847767794
-48.0,0.8188672046659643
-45.0,0.8331034700860771
-42.0,0.8471206656648759
-39.0,0.8619405548492393
-36.0,0.8769185465530445
-33.0,0.8909460782902584
-30.0,0.9058945904535759
-27.0,0.9215206696792185
-24.0,0.9337544780046788
-21.0,0.9466217390679739
-18.0,0.9595573476823719
-15.0,0.9718794450300196
-12.0,0.9801198986372412
-9.0,0.9882321850725089
-6.0,0.9943311030907194
0.0,1.0
6.0,0.9951045489919125
9.0,0.9895962738841412
12.0,0.9814048882724817
15.0,0.9726622706194118
18.0,0.962145272814113
21.0,0.9497392508937662
24.0,0.9365903287994186
27.0,0.9224074612993332
30.0,0.9081467013348526
33.0,0.8942314749260297
36.0,0.8792174359254279
39.0,0.8643472525579529
42.0,0.8498946868078153
45.0,0.83471533259743
48.0,0.8210365427203649
51.0,0.8061052315938765
54.0,0.7928739809981681
57.0,0.7782379251936556
60.0,0.7644825521817816
63.0,0.7504428808112587
66.0,0.7366824333477897
69.0,0.7229554591088087
72.0,0.7093788165334903
75.0,0.6957926189062159
78.0,0.6834532477019053
81.0,0.6677177850802557
84.0,0.6524589683250641
87.0,0.6360235793717963
90.0,0.6163220109283899
93.0,0.5881039635494253
96.0,0.5356003048947827
99.0,0.38570236216008347
102.0,0.16863816370972518
105.0,0.0896925976091309
108.0,0.06132146259539175
111.0,0.04772191774399123
114.0,0.04000161465976603
117.0,0.03458414232837128
120.0,0.030764045912496676
123.0,0.027855338877719713
126.0,0.024612482511142637
