data_location,mean_data_value
-126.0,0.00773501432961967
-123.0,0.010935586835702393
-120.0,0.016362270457164808
-117.0,0.026170263926238956
-114.0,0.04391381559738763
-111.0,0.07439905890639008
-108.0,0.13464679216288897
-105.0,0.25557578050966834
-102.0,0.46387565117172497
-99.0,0.6972755167114868
-96.0,0.8491551812011782
-93.0,0.9180086618004867
-90.0,0.9489279395569216
-87.0,0.9661499334101679
-84.0,0.9769170021769753
-81.0,0.9849628736073761
-78.0,0.9884540350877193
-75.0,0.992277282622615
-72.0,0.9958538634908439
-69.0,0.9977514406454092
-66.0,1.0004998207196822
-63.0,1.0026109104878984
-60.0,1.0051847099500577
-57.0,1.0045950825970034
-54.0,1.0054913049045973
-51.0,1.0064728390318864
-48.0,1.0070568318606734
-45.0,1.007358330131899
-42.0,1.0069769752849276
-39.0,1.0071890254834166
-36.0,1.0059327314636957
-33.0,1.0058928031758227
-30.0,1.0105936995774105
-27.0,1.010314982712255
-24.0,1.011400473812268
-21.0,1.0108123447304391
-18.0,1.01020688948649
-15.0,1.0072251760788833
-12.0,1.0029645665258036
-9.0,1.0017495197848636
-6.0,1.0000986810090922
0.0,1.0
6.0,1.0004839928287872
9.0,1.0007559354590858
12.0,1.001909412216673
15.0,1.0057299142015623
18.0,1.0084008964015878
21.0,1.0096317710334228
24.0,1.009567742348572
27.0,1.008688846203099
30.0,1.0063764374439748
33.0,1.007157971571264
36.0,1.0080860289409657
39.0,1.0060135484697144
42.0,1.0052839928287873
45.0,1.005135971315149
48.0,1.0054052759636318
51.0,1.0053787168651558
54.0,1.0036437059802792
57.0,1.002463490843898
60.0,1.0026035984120887
63.0,0.9992495838135484
66.0,0.996444429504418
69.0,0.9941674401331797
72.0,0.992396457933154
75.0,0.9915436406710206
78.0,0.985987468305801
81.0,0.9803060199769497
84.0,0.9725460840056345
87.0,0.961999158663081
90.0,0.9447939749007556
93.0,0.9128031271609681
96.0,0.8420484850813165
99.0,0.6810408771929825
102.0,0.44260311307465744
105.0,0.2397105224740684
108.0,0.12613057497758998
111.0,0.06989149583813549
114.0,0.04058542066845947
117.0,0.024616264694583178
120.0,0.015400285695991806
123.0,0.010732220386733257
126.0,0.007852724113202715
