data_location,mean_data_value
-126.0,0.12093792061029118
-123.0,0.13066352939124726
-120.0,0.14255130606524066
-117.0,0.15712958794856186
-114.0,0.17429687210407763
-111.0,0.19712600540990546
-108.0,0.23400340696955424
-105.0,0.30690727508662957
-102.0,0.5209213786006175
-99.0,1.271836500446509
-96.0,1.9768320422975543
-93.0,2.1159216839185184
-90.0,2.129699974249181
-87.0,2.1079827691876813
-84.0,2.074885670255679
-81.0,2.035709597072106
-78.0,1.9952467795843334
-75.0,1.955579249855655
-72.0,1.9095791843635554
-69.0,1.8631575151267339
-66.0,1.819471110139744
-63.0,1.7746282665621642
-60.0,1.7298450925738802
-57.0,1.6871345507617324
-54.0,1.6413809968661153
-51.0,1.599875596698836
-48.0,1.557534038957482
-45.0,1.5137809144658276
-42.0,1.4697302253516227
-39.0,1.4300579956793658
-36.0,1.3896540644569593
-33.0,1.3501043072590135
-30.0,1.3152972936302305
-27.0,1.2815870490027412
-24.0,1.2458716750277101
-21.0,1.2123857974736305
-18.0,1.1800423233147341
-15.0,1.1487968577783565
-12.0,1.1157151530865674
-9.0,1.0862774509557598
-6.0,1.0571750598138414
0.0,1.0
6.0,0.9493723001681088
9.0,0.9257675953220772
12.0,0.9033992495045098
15.0,0.8797274844301157
18.0,0.8572995473556453
21.0,0.834956465659807
24.0,0.8121610328300093
27.0,0.789874174098176
30.0,0.7692195949617084
33.0,0.7480485810938524
36.0,0.7295721731138853
39.0,0.7112435937594148
42.0,0.6935303671044977
45.0,0.6753720605311053
48.0,0.659230660558328
51.0,0.6414631829462935
54.0,0.6235920600283891
57.0,0.6068356990180234
60.0,0.590557856010858
63.0,0.5733904935229492
66.0,0.5574634987126099
69.0,0.5411785920930132
72.0,0.5252048799323457
75.0,0.509541292971232
78.0,0.49349724431875996
81.0,0.47884280195242745
84.0,0.46294722228165885
87.0,0.44679318339948554
90.0,0.42941518940106504
93.0,0.40693718038043136
96.0,0.3686192153880161
99.0,0.26445053148638953
102.0,0.12790064505080492
105.0,0.08772544448994156
108.0,0.07359579256691452
111.0,0.06536943602426873
114.0,0.060283667309924724
117.0,0.055446592711704004
120.0,0.05144961640663436
123.0,0.04825972039521232
126.0,0.04387617953537421
