data_location,mean_data_value
-126.0,0.06306165083196594
-123.0,0.06792211951007132
-120.0,0.07338136348021934
-117.0,0.08036043423658945
-114.0,0.0884363550619173
-111.0,0.09884061812990716
-108.0,0.11443311462641836
-105.0,0.14467274295335908
-102.0,0.22961251394734356
-99.0,0.5201181267768327
-96.0,0.7899589763277244
-93.0,0.8557414513901669
-90.0,0.8811014793786096
-87.0,0.8956925186673905
-84.0,0.9064571368814649
-81.0,0.913767601110149
-78.0,0.9206715385953423
-75.0,0.9280138344306521
-72.0,0.9322752145889076
-69.0,0.9355104322039944
-66.0,0.940049555850708
-63.0,0.9437838813721051
-60.0,0.9465802550275655
-57.0,0.9500633269625235
-54.0,0.9518702257765381
-51.0,0.9558181459636319
-48.0,0.9576226167300981
-45.0,0.9593967127184675
-42.0,0.9598982486723261
-39.0,0.9618550789387859
-36.0,0.9635973433205294
-33.0,0.9646524238132658
-30.0,0.9681615000407331
-27.0,0.9722333473877625
-24.0,0.9742876149121387
-21.0,0.9772402329436702
-18.0,0.9809104096423058
-15.0,0.9852344817947936
-12.0,0.9867578098062335
-9.0,0.989803980219604
-6.0,0.993441839702104
0.0,1.0
6.0,1.0105702293077512
9.0,1.0167262333477438
12.0,1.0227235649641166
15.0,1.0284181200185412
18.0,1.0349796795830053
21.0,1.0403299142786615
24.0,1.0460529016731441
27.0,1.0510593016195422
30.0,1.0572471372661605
33.0,1.0634075117917403
36.0,1.0711774825679534
39.0,1.078948910172696
42.0,1.0874070360569357
45.0,1.0944696459657486
48.0,1.1036110708629177
51.0,1.1104248552328402
54.0,1.1181080721603505
57.0,1.1238908378920072
60.0,1.1310122549189747
63.0,1.1367053531448703
66.0,1.1423024709413783
69.0,1.1476459071038991
72.0,1.1526547350978456
75.0,1.1574725734520368
78.0,1.1629438216505705
81.0,1.1635340538911711
84.0,1.1631260703191513
87.0,1.1600711589346062
90.0,1.1520348806771534
93.0,1.1269625753558583
96.0,1.0453921341675847
99.0,0.7433938533568089
102.0,0.31199997475604424
105.0,0.1813826606341506
108.0,0.13944137772688023
111.0,0.1181948234939444
114.0,0.10491472673793278
117.0,0.09438507968147823
120.0,0.08638130321046855
123.0,0.0790636204254433
126.0,0.07160609467716955
